Loan Status,Current Loan Amount,Term,Credit Score,Years in current job,Home Ownership,Annual Income,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
Charged Off,12232,Short Term,728,1,Rent,46643,DebtConsolidation,777.39,18,10,12,0,6762,7946,0,0
Charged Off,25014,Long Term,733,10,Mortgage,81099,DebtConsolidation,892.09,26.7,NA,14,0,35706,77961,0,0
Charged Off,16117,Short Term,724,9,Mortgage,60438,HomeImprovements,1244.02,16.7,32,11,1,11275,14815,1,0
Charged Off,11716,Short Term,740,3,Rent,34171,DebtConsolidation,990.94,10,NA,21,0,7009,43533,0,0
Charged Off,9789,Long Term,686,10,Mortgage,47003,HomeImprovements,503.71,16.7,25,13,1,16913,19553,1,0
Charged Off,11911,Short Term,742,2,Mortgage,70475,Other,886.81,17.7,NA,13,0,28212,59897,0,0
Charged Off,28988,Short Term,742,3,Mortgage,58074,DebtConsolidation,871.11,22.8,NA,9,0,14423,54018,0,0
Charged Off,17705,Long Term,663,3,Own Home,49180,DebtConsolidation,274.59,30.2,NA,10,1,4252,25012,1,0
Charged Off,16812,Short Term,736,7,Rent,50945,DebtConsolidation,590.12,14.6,NA,9,0,12903,15379,0,0
Charged Off,9796,Long Term,672,1,Rent,58776,DebtConsolidation,666.13,9.4,17,12,0,4939,15198,0,0
Charged Off,19838,Long Term,701,6,Mortgage,79352,DebtConsolidation,1051.41,14.3,6,13,0,15780,22511,0,0
Charged Off,18392,Long Term,731,1,Rent,44959,DebtConsolidation,569.48,15.4,NA,7,0,7085,11750,0,0
Charged Off,29496,Long Term,685,3,Rent,76690,DebtConsolidation,1329.29,32.2,NA,10,0,27643,44801,0,0
Charged Off,34276,Long Term,628,10,Mortgage,141019,Other,2632.36,19.9,14,19,0,20223,31747,0,0
Charged Off,18230,Short Term,747,5,Rent,151920,BusinessLoan,778.59,26.4,NA,9,0,5663,29039,0,0
Charged Off,19660,Long Term,731,1,Rent,58980,DebtConsolidation,973.17,15.6,NA,5,0,23917,33829,0,0
Charged Off,24341,Long Term,720,3,Rent,99392,DebtConsolidation,2360.55,17.1,NA,8,0,16604,21288,0,0
Charged Off,21350,Long Term,732,10,Rent,58626,BusinessLoan,723.05,15,NA,4,0,4085,4886,0,0
Charged Off,8792,Short Term,733,10,Own Home,19982,HomeImprovements,56.95,21.1,NA,7,0,650,40651,0,0
