Current Loan Amount,Credit Score,Years in current job,Annual Income,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens,Loan Status,
12232,728,1,46643,777.39,18,10,12,0,6762,7946,0,0,Charged Off,0
25014,733,10,81099,892.09,26.7,34.9302321,14,0,35706,77961,0,0,Charged Off,
16117,724,9,60438,1244.02,16.7,32,11,1,11275,14815,1,0,Charged Off,
11716,740,3,34171,990.94,10,37.74112995,21,0,7009,43533,0,0,Charged Off,
9789,686,10,47003,503.71,16.7,25,13,1,16913,19553,1,0,Charged Off,
11911,742,2,70475,886.81,17.7,36.36977214,13,0,28212,59897,0,0,Charged Off,
28988,742,3,58074,871.11,22.8,37.3809492,9,0,14423,54018,0,0,Charged Off,
17705,663,3,49180,274.59,30.2,37.00556884,10,1,4252,25012,1,0,Charged Off,
16812,736,7,50945,590.12,14.6,37.5929631,9,0,12903,15379,0,0,Charged Off,
9796,672,1,58776,666.13,9.4,17,12,0,4939,15198,0,0,Charged Off,
19838,701,6,79352,1051.41,14.3,6,13,0,15780,22511,0,0,Charged Off,
18392,731,1,44959,569.48,15.4,37.45778506,7,0,7085,11750,0,0,Charged Off,
29496,685,3,76690,1329.29,32.2,32.04893075,10,0,27643,44801,0,0,Charged Off,
34276,628,10,141019,2632.36,19.9,14,19,0,20223,31747,0,0,Charged Off,
18230,747,5,151920,778.59,26.4,30.29231079,9,0,5663,29039,0,0,Charged Off,
19660,731,1,58980,973.17,15.6,38.11282589,5,0,23917,33829,0,0,Charged Off,
24341,720,3,99392,2360.55,17.1,36.03838985,8,0,16604,21288,0,0,Charged Off,
21350,732,10,58626,723.05,15,37.60164391,4,0,4085,4886,0,0,Charged Off,
8792,733,10,19982,56.95,21.1,37.04735708,7,0,650,40651,0,0,Charged Off,
10958,682,9,53812,995.52,15.3,33.22298691,13,0,12336,21123,0,0,Charged Off,
16447,723,4,73425,770.96,10.5,36.11067206,7,0,9806,14592,0,0,Charged Off,
28053,674,3,120228,1442.74,13,6,13,0,20466,30455,0,0,Charged Off,
3947,735,10,88812,1147.16,22.4,66,16,1,17324,21309,0,0,Charged Off,
4880,743,8,43916,472.09,13.7,37.78072399,10,0,15119,25581,0,0,Charged Off,
17214,717,9,39068,319.38,11.1,37.43012069,6,0,8469,13274,0,0,Charged Off,
8844,737,10,47563,1121.7,22,14,8,0,3534,4559,0,0,Charged Off,
5927,718,5,20490,589.08,14.8,37.14653292,12,0,13206,28897,0,0,Charged Off,
15621,744,4,108369,1164.97,15.8,38,15,0,13285,18351,0,0,Charged Off,
11748,735,2,63635,662.86,16.9,43.29808365,10,1,8501,11939,1,0,Charged Off,
19230,668,7,39316,750.28,13,34.16727067,11,0,19814,22775,0,0,Charged Off,
24406,713,1,90207,1871.8,27.5,34.58255678,9,0,33341,35281,0,0,Charged Off,
17309,651,10,49018,347.21,37.1,39,8,0,11035,16645,0,0,Charged Off,
19124,728,10,116499,3621.16,20.6,10,15,0,275876,276152,0,0,Charged Off,
9871,697,10,39484,1138.45,15.1,35.71372519,10,0,10879,16789,0,0,Charged Off,
11029,695,4,34088,542.58,9.6,36.61522036,4,0,10573,11224,0,0,Charged Off,
3125,641,1,52736,123.05,9,30.44385306,3,0,1640,1659,0,0,Charged Off,
11143,661,2,110671,132.81,21.5,60,7,1,2739,6847,1,0,Charged Off,
16000,716,1,60000,354,25.8,39.17012508,22,1,9743,25912,1,0,Charged Off,
4225,672,2,21988,459.93,10.6,50,6,1,1279,3143,0,0,Charged Off,
12388,726,8,39640,558.26,14.8,37.72054565,6,0,12666,14263,0,0,Charged Off,
15260,729,3,63480,555.45,8,36.91570024,11,0,18822,37345,0,0,Charged Off,
14780,724,10,73026,1211.02,22,35.28568891,8,0,13141,13603,0,0,Charged Off,
7887,717,6,24648,330.69,9.9,37.76496348,8,0,11021,11826,0,0,Charged Off,
